BLUE_TOP,BLUE_JUNGLE,BLUE_MIDDLE,BLUE_BOTTOM,BLUE_UTILITY,RED_WINNER,RED_TOP,RED_JUNGLE,RED_MIDDLE,RED_BOTTOM,RED_UTILITY
Ambessa,Trundle,Taliyah,Senna,Bard,True,Renekton,Talon,Aurora,Tristana,Rell
Kled,Nocturne,Azir,Lux,Bard,False,Gragas,LeeSin,Cassiopeia,Ezreal,Alistar
Aatrox,JarvanIV,Corki,Ziggs,Gragas,False,Camille,Trundle,Galio,Yunara,Bard
Fiora,Nidalee,Gangplank,Yunara,Leona,True,Sion,Kindred,Sylas,Draven,Blitzcrank
Aurora,XinZhao,Taliyah,Yunara,Nautilus,True,Ambessa,Nidalee,Akshan,Tristana,Seraphine
Gwen,JarvanIV,Azir,Kaisa,Rell,False,Lissandra,Trundle,Ziggs,Lucian,Nami
Vladimir,JarvanIV,Azir,Corki,Nautilus,True,Ryze,Aatrox,Ziggs,Sivir,Alistar
Gwen,JarvanIV,Orianna,Ezreal,Thresh,False,Zoe,Morgana,Ambessa,Vayne,Nautilus
Quinn,Khazix,Orianna,Veigar,Anivia,False,Shen,Corki,Hwei,Ezreal,Nautilus
Renekton,Zed,Orianna,Tristana,Pyke,False,Tryndamere,Ambessa,Annie,Aphelios,Alistar
Gangplank,Karthus,Poppy,Yunara,Rell,True,Shen,Kindred,Galio,Kaisa,Nautilus
Nocturne,Zed,Vladimir,Yunara,Rell,False,Sion,Trundle,Azir,Lux,Zoe
Gwen,Rengar,Galio,Yunara,Alistar,True,Camille,JarvanIV,Orianna,Aphelios,Thresh
Shen,Trundle,Taliyah,Jhin,Anivia,False,Gwen,Ekko,Yasuo,Corki,Nami
Rumble,XinZhao,Corki,Lux,Nautilus,False,Aurora,Jax,Orianna,Smolder,Braum
Gwen,LeeSin,Corki,MissFortune,Elise,True,Jax,Khazix,Annie,Yasuo,Poppy
KSante,Graves,Annie,Yunara,Alistar,True,Gwen,Kayn,Yasuo,Senna,Poppy
KSante,Aatrox,Sylas,Tristana,Leona,True,Vayne,Belveth,Cassiopeia,Yunara,Pyke
Urgot,Shaco,Orianna,Jhin,Zyra,True,Quinn,Aatrox,Chogath,Aphelios,Janna
Irelia,XinZhao,Azir,Ziggs,Poppy,False,Aurora,Aatrox,Sylas,Yunara,Pyke
Sejuani,Nunu,Akshan,Tristana,Alistar,True,Ambessa,Qiyana,Ziggs,Xayah,Neeko
Kled,XinZhao,Viktor,Tristana,Leona,True,Aurora,Qiyana,Annie,Yunara,Alistar
Ambessa,Viego,Ziggs,Jinx,Lulu,False,Renekton,Zed,TwistedFate,Yunara,Karma
Sion,Mordekaiser,Corki,Senna,Alistar,False,Yone,Nunu,Aurora,Yunara,Bard
Aurora,Mordekaiser,Yone,Yunara,Pyke,False,Gwen,JarvanIV,Annie,Jinx,Nautilus
Irelia,Kayn,Ryze,Hwei,Nautilus,False,Renekton,Zed,Neeko,Aphelios,Thresh
